"id","idJeu","idMecanism"
"1","905","6"
"2","905","10"
"3","948","10"
"4","948","25"
"5","949","28"
"6","951","11"
"7","953","40"
"8","953","41"
"9","953","42"
"10","954","8"
"11","954","12"
"12","955","11"
"13","455","9"
"14","717","41"
"15","717","42"
"16","917","23"
"17","956","41"
"18","957","40"
"19","958","2"
"20","959","40"
"21","960","40"
"22","961","7"
"23","962","40"
"24","963","2"
"25","916","42"
"26","915","7"
"27","915","29"
"28","964","4"
"29","964","2"
"30","964","43"
"31","914","6"
"32","913","7"
"33","911","41"
"34","910","40"
"38","901","45"
"39","901","46"
"40","898","45"
"41","890","16"
"42","893","4"
"43","941","20"
"44","941","45"
"45","906","41"
"46","940","8"
"48","992","40"
"49","993","40"
"50","993","7"
"51","993","42"
"52","976","40"
"53","979","7"
"54","966","8"
"55","980","40"
"56","989","41"
"57","374","31"
"58","198","31"
"59","375","31"
"60","983","11"
"61","983","41"
"62","981","11"
"63","981","41"
"64","982","11"
"65","982","41"
"66","200","31"
"67","996","31"
"68","673","31"
"69","934","41"
"70","934","41"
"71","974","41"
"72","974","8"
"73","978","32"
"74","977","32"
"75","936","30"
"77","991","9"
"78","920","28"
"79","987","10"
"80","987","2"
"81","900","11"
"82","187","31"
"83","947","40"
"84","947","7"
"85","908","31"
"86","907","31"
"87","946","4"
"88","946","6"
"89","994","41"
"90","994","31"
"91","426","7"
"92","899","11"
"93","555","46"
"94","555","20"
"95","1009","5"
"96","1009","18"
"97","903","7"
"98","903","28"
"99","903","24"
"100","903","30"
"101","1010","40"
"102","1010","11"
"103","881","8"
"105","1006","40"
"106","896","11"
"107","926","40"
"108","933","40"
"109","1016","6"
"110","1016","9"
"111","1012","19"
"112","988","8"
"113","357","7"
"114","357","44"
"115","912","2"
"116","944","40"
"117","944","45"
"118","902","2"
"119","995","31"
"120","968","11"
"121","968","35"
"122","969","22"
"123","931","42"
"124","775","31"
"125","1017","7"
"126","1017","44"
"127","1017","8"
"128","928","40"
"129","929","7"
"130","971","11"
"131","839","2"
"132","935","31"
"133","997","31"
"134","942","46"
"135","942","45"
"136","937","6"
"137","937","11"
"138","937","9"
"139","1022","47"
"140","1022","48"
"141","1024","40"
"142","1025","47"
"143","1025","48"
"144","1026","40"
"145","1027","40"
"146","1029","8"
"147","1021","44"
"148","1021","4"
"149","1021","14"
"150","1021","10"
"151","1021","2"
"152","1023","8"
"153","972","9"
"154","972","8"
"155","881","7"
"156","1005","40"
"157","909","47"
"158","933","41"
"159","742","40"
"160","1030","7"
"161","1030","10"
"162","1031","24"
"164","1032","28"
"165","1033","4"
"166","1033","8"
"167","1034","40"
"168","1034","8"
"169","1034","29"
"170","1026","9"
"171","1040","40"
"172","1041","11"
"173","1041","48"
"174","885","7"
"175","1039","40"
"176","1039","9"
"177","884","22"
"178","884","8"
"179","904","44"
"180","904","10"
"181","844","19"
"182","1042","11"
"183","1042","49"
"184","98","40"
"185","1042","7"
"186","889","40"
"187","889","8"
"188","1008","47"
"189","1008","5"
"190","1008","9"
"191","927","41"
"192","773","31"
"193","918","40"
"194","918","10"
"195","918","2"
"196","711","40"
"197","711","7"
"198","984","25"
"199","984","8"
"201","1013","11"
"202","892","4"
"203","892","20"
"204","943","44"
"205","1043","8"
"206","1044","40"
"207","1044","10"
"208","193","31"
"209","768","40"
"210","768","11"
"211","887","40"
"212","887","6"
"213","887","45"
"214","767","7"
"215","767","46"
"216","418","40"
"217","553","40"
"218","553","29"
"219","1003","37"
"220","1004","37"
"221","774","31"
"222","922","7"
"223","922","11"
"224","922","49"
"225","197","31"
"226","990","40"
"227","990","46"
"228","202","31"
"229","1007","45"
"230","985","28"
"231","588","40"
"232","194","31"
"233","761","7"
"234","761","11"
"235","967","7"
"236","998","31"
"237","895","47"
"238","895","11"
"239","895","15"
"240","682","28"
"241","682","42"
"242","190","31"
"243","677","31"
"244","919","40"
"245","919","29"
"246","932","46"
"247","932","8"
