"idMecanism","mecaName","mecaDesc"
"2","Pose d'ouvriers",
"3","Enchères",
"4","Majorité",
"5","Contrôle de territoires",
"6","Deck building",
"7","Coopératif",
"8","Pose de tuiles",
"9","Gestion de main",
"10","Gestion de ressources",
"11","Déduction",
"12","Bag building",
"13","Dice building",
"14","Pose d’ouvriers dés",
"15","Semi-coopératif",
"16","Rôles cachés",
"17","Wargame",
"18","Warteau",
"19","Flip and write",
"20","Roll and write",
"21","Réseau",
"22","Connexions",
"23","Dessin",
"24","Équilibre",
"25","Commerce",
"26","Négociations/Diplomatie",
"27","Points de mouvement",
"28","Course",
"29","Temps réel",
"30","Solo",
"31","Casse-tête",
"32","Jeu de rôle",
"33","Narratif",
"34","Chant",
"35","Éloquence",
"36","Gages",
"37","Jeu de lettre",
"38","4X","Exploration, Extermination, Expansion, Exploitation "
"40","Cartes",
"41","Observation",
"42","Parcours",
"43","Vote/Influence",
"44","Exploration",
"45","Stop ou encore",
"46","Dés",
"47","Bluff",
"48","Paris",
"49","Enquête",
"50","Dungeon Crawler",
"51","Jeu de rôle",
"52","Avec application",
"53","Damier",
"54","En équipe",
"55","action",
"56","Adresse",
"57","Affrontement",
"58","Alignement",
"59","Asymétrie",
"60","Call and write",
"61","Collection",
"62","Combinaison",
"63","Communication",
"64","Connaissance",
"65","Conquête",
"66","Construction",
"67","Défausse",
"68","Développement",
"69","Draft",
"70","Logique",
"71","Mémoire",
"72","Mîmes",
"73","Objectifs secrets",
"74","Pouvoir",
"75","Prise de risque",
"76","Programmation",
"77","Rapidité",
"78","Simultané",
"79","Draw and write",
"80","Questions-Réponses",
"81","Jeu de rôle",
